"AnimalName","numberOfAnimals","AnimalType"
"Spice",4,"Cat"
"Cassius",4,"Cat"
"Lunar",4,"Cat"
"Macy",4,"Cat"
"Jacob",4,"Cat"
"Brian",4,"Cat"
"Bagheera",4,"Cat"
"Patsy",4,"Cat"
"Betty",4,"Cat"
"Elliot",4,"Cat"
"Saffy",4,"Cat"
"Bernie",4,"Cat"
"Tiny",4,"Cat"
"Loui",4,"Cat"
"Stormy",4,"Cat"
"Rupert",4,"Cat"
"Isla",4,"Cat"
"Rory",4,"Cat"
"Latte",4,"Cat"
"Inka",4,"Cat"
"Jackson",4,"Cat"
"Abigail",4,"Cat"
"Widget",4,"Cat"
"Boris",4,"Cat"
"Marshmallow",4,"Cat"
"Hayley",4,"Cat"
"Tippy",4,"Cat"
"Pickles",4,"Cat"
"Portia",4,"Cat"
"Clover",4,"Cat"
"Aria",4,"Cat"
"Esme",4,"Cat"
"Star",4,"Cat"
"Harlow",4,"Cat"
"Elly",3,"Cat"
"Minka",3,"Cat"
"Sari",3,"Cat"
"Maya",3,"Cat"
"Lizzie",3,"Cat"
"Scooby",3,"Cat"
"Meeko",3,"Cat"
"Pudda",3,"Cat"
"Ozzie",3,"Cat"
"Zulu",3,"Cat"
"Ashley",3,"Cat"
"Nelson",3,"Cat"
"Mina",3,"Cat"
"Abbey",3,"Cat"
"Chance",3,"Cat"
"Ali",3,"Cat"
"Levi",3,"Cat"
"Cino",3,"Cat"
"Sultan",3,"Cat"
"Pixel",3,"Cat"
"Boy",3,"Cat"
"Silver",3,"Cat"
"Chi Chi",3,"Cat"
"Vincent",3,"Cat"
"Diego",3,"Cat"
"Sapphire",3,"Cat"
"Onslow",3,"Cat"
"Leah",3,"Cat"
"Mister",3,"Cat"
"Saber",3,"Cat"
"Rudi",3,"Cat"
"Odin",3,"Cat"
"Theodore",3,"Cat"
"Suzie",3,"Cat"
"Helen",3,"Cat"
"Marble",3,"Cat"
"Lila",3,"Cat"
"Ginge",3,"Cat"
"Foxy",3,"Cat"
"Shady",3,"Cat"
"Bono",3,"Cat"
"Jade",3,"Cat"
"Pipi",3,"Cat"
"Mollie",3,"Cat"
"Stanley",3,"Cat"
"KOVU",3,"Cat"
"Scooter",3,"Cat"
"Snowball",3,"Cat"
"Kirra",3,"Cat"
"Emmy",3,"Cat"
"Sabi",3,"Cat"
"Ariel",3,"Cat"
"Petal",3,"Cat"
"Axel",3,"Cat"
"Sissy",3,"Cat"
"Jag",3,"Cat"
"Natasha",3,"Cat"
"Paddy",3,"Cat"
"Turbo",3,"Cat"
"Monet",3,"Cat"
"Hermione",3,"Cat"
"Rufus",3,"Cat"
"Rahni",3,"Cat"
"Missy moo",3,"Cat"
"Duke",3,"Cat"
"Whiskas",3,"Cat"
"Janey",3,"Cat"
"Khan",3,"Cat"
"Cous cous",3,"Cat"
"Cc",3,"Cat"
"Dutchess",3,"Cat"
"Lilo",3,"Cat"
"Tigerlilly",3,"Cat"
"Rosy",3,"Cat"
"Anubis",3,"Cat"
"Carrie",3,"Cat"
"Chelsea",3,"Cat"
"Tinkerbelle",3,"Cat"
"Hazel",3,"Cat"
"Bess",3,"Cat"
"Buddha",3,"Cat"
"Sonny",3,"Cat"
"Ginger megs",3,"Cat"
"Bazza",3,"Cat"
"Button",3,"Cat"
"Emily",3,"Cat"
"Renee",3,"Cat"
"RJ",3,"Cat"
"Nero",3,"Cat"
"Scruff",3,"Cat"
"Fraser",3,"Cat"
"Mary",3,"Cat"
"Tamara",3,"Cat"
"Jynx",3,"Cat"
"Mini",3,"Cat"
"Meika",3,"Cat"
"Lewis",3,"Cat"
"Fern",3,"Cat"
"Poppet",3,"Cat"
"Tipsy",3,"Cat"
"Stumpy",3,"Cat"
"Destiny",3,"Cat"
"Kevin",3,"Cat"
"Puff",3,"Cat"
"Noddy",3,"Cat"
"Charlie Brown",3,"Cat"
"Yang",3,"Cat"
"Athena",3,"Cat"
"Victor",3,"Cat"
"Duchess",3,"Cat"
"Kenny",3,"Cat"
"Maxi",3,"Cat"
"Johnny",3,"Cat"
"Megan",3,"Cat"
"Miley",3,"Cat"
"Frisky",3,"Cat"
"Imp",3,"Cat"
"Spencer",3,"Cat"
"Darryl",3,"Cat"
"Peggy",3,"Cat"
"Priscilla",3,"Cat"
"Pixi",3,"Cat"
"Nina",3,"Cat"
"Punky",3,"Cat"
"Freckles",3,"Cat"
"Bobbi",3,"Cat"
"Mikey",3,"Cat"
"Snickers",3,"Cat"
"Oska",3,"Cat"
"Sumi",3,"Cat"
"Obi",3,"Cat"
"Gibbs",3,"Cat"
"Indi",3,"Cat"
"Sienna",3,"Cat"
"Luca",3,"Cat"
"Lynx",3,"Cat"
"Chase",3,"Cat"
"Nikita",3,"Cat"
"Stitch",3,"Cat"
"Finn",3,"Cat"
"Cat",3,"Cat"
"Calypso",3,"Cat"
"Graham",3,"Cat"
"Flynn",3,"Cat"
"Raffy",3,"Cat"
"Juno",3,"Cat"
"Simon",3,"Cat"
"Pedro",3,"Cat"
"Peppe",3,"Cat"
"Gingi",3,"Cat"
"FiFi",3,"Cat"
"Silvester",3,"Cat"
"Nitro",3,"Cat"
"Sweep",3,"Cat"
"Lottie",3,"Cat"
"Carlos",3,"Cat"
"Geoffrey",3,"Cat"
"Ethan",3,"Cat"
"Hogan",3,"Cat"
"Lavender",3,"Cat"
"Sabre",3,"Cat"
"Fudge",3,"Cat"
"Sandy",3,"Cat"
"Mandy",3,"Cat"
"Eric",3,"Cat"
"Nacho",3,"Cat"
"Leia",3,"Cat"
"Lana",3,"Cat"
"Alaska",3,"Cat"
"Smoky",3,"Cat"
"Tango",3,"Cat"
"Lisa",3,"Cat"
"Megsy",3,"Cat"
"Wallace",3,"Cat"
"Gabby",3,"Cat"
"Robert",3,"Cat"
"Farrah",3,"Cat"
"Minki",3,"Cat"
"Binky",3,"Cat"
"Aries",3,"Cat"
"Francesca",3,"Cat"
"Minky",3,"Cat"
"Herbie",3,"Cat"
"Opie",3,"Cat"
"Velvet",3,"Cat"
"Boo Boo",3,"Cat"
"Cupcake",3,"Cat"
"Squishy",3,"Cat"
"Edward",3,"Cat"
"Elsa",3,"Cat"
"Occy",3,"Cat"
"Blacky",3,"Cat"
"Khaleesi",3,"Cat"
"Karma",3,"Cat"
"Mason",3,"Cat"
"Stewie",3,"Cat"
"Asher",3,"Cat"
"munchkin",3,"Cat"
"Migaloo",3,"Cat"
"Imogen",3,"Cat"
"Hunter",3,"Cat"
"Walter",3,"Cat"
"Tori",3,"Cat"
"ECHO",3,"Cat"
"Webster",3,"Cat"
"Frisbee",3,"Cat"
"Calvin",3,"Cat"
"MEEKA",3,"Cat"
"JJ",3,"Cat"
"Rodney",3,"Cat"
"Barbie",3,"Cat"
"Astro",3,"Cat"
"Whisky",3,"Cat"
"BANJO",3,"Cat"
"Annabelle",3,"Cat"
"Isobel",2,"Cat"
"Pinky",2,"Cat"
"Silvie",2,"Cat"
"PC",2,"Cat"
"Cate",2,"Cat"
"Gadget",2,"Cat"
"Tom-Tom",2,"Cat"
"Dot",2,"Cat"
"Snoopy",2,"Cat"
"Whitey",2,"Cat"
"Magnus",2,"Cat"
"Maddison",2,"Cat"
"Raz",2,"Cat"
"Blackjack",2,"Cat"
"Chui",2,"Cat"
"Tex",2,"Cat"
"Tiger Lily",2,"Cat"
"Pink",2,"Cat"
